date,ticker,side,call_prem_pct,size,return_pct,pnl_pu_pct,pnl_contribution_pct,in_recovery
2015-02-01,AAPL,buy_call,3.1456,1,9.6449,6.4993,0.064993,False
2015-02-01,ABBV,buy_call,2.8264,1,1.0011,-1.8253,-0.018253,False
2015-02-01,ABT,buy_call,2.4594,1,6.3913,3.9319,0.039319,False
2015-02-01,ADBE,buy_call,2.8745,1,12.7905,9.9161,0.099161,False
2015-02-01,ADP,buy_call,3.0196,1,7.6457,4.6261,0.046261,False
2015-02-01,AMGN,buy_call,2.8264,1,3.586,0.7596,0.007596,False
2015-02-01,AMT,buy_call,3.0196,1,2.2589,-0.7607,-0.007607,False
2015-02-01,AMZN,buy_call,3.8265,1,7.2293,3.4028,0.034028,False
2015-02-01,AXP,buy_call,2.7116,1,1.4129,-1.2988,-0.012988,False
2015-02-01,BA,buy_call,3.0,1,3.7697,0.7697,0.007697,False
2015-02-01,BAC,buy_call,3.1976,1,4.3564,1.1588,0.011588,False
2015-02-01,BDX,buy_call,2.4594,1,6.2572,3.7978,0.037978,False
2015-02-01,BIIB,buy_call,2.8264,1,5.2498,2.4234,0.024234,False
2015-02-01,BLK,buy_call,2.7389,1,9.0775,6.3387,0.063387,False
2015-02-01,BMY,buy_call,2.8264,1,1.0785,-1.7479,-0.017479,False
2015-02-01,BRK-B,buy_call,1.809,1,2.4321,0.6231,0.006231,False
2015-02-01,C,buy_call,3.0,1,11.6744,8.6744,0.086744,False
2015-02-01,CAT,buy_call,3.2317,1,4.5139,1.2821,0.012821,False
2015-02-01,CL,buy_call,2.0993,1,5.4379,3.3386,0.033386,False
2015-02-01,CMCSA,buy_call,3.1005,1,12.1616,9.0611,0.090611,False
2015-02-01,COST,buy_call,2.5784,1,2.7764,0.198,0.00198,False
2015-02-01,CRM,buy_call,3.8947,1,22.9052,19.0105,0.190105,False
2015-02-01,CSCO,buy_call,3.0196,1,12.677,9.6574,0.096574,False
2015-02-01,CTSH,buy_call,3.0196,1,15.4443,12.4247,0.124247,False
2015-02-01,CVS,buy_call,2.9729,1,6.1935,3.2206,0.032206,False
2015-02-01,CVX,buy_call,3.0632,1,4.0476,0.9844,0.009844,False
2015-02-01,DD,buy_call,3.0196,1,9.0346,6.015,0.06015,False
2015-02-01,DHR,buy_call,2.4594,1,5.948,3.4886,0.034886,False
2015-02-01,DIS,buy_call,3.3259,1,14.4239,11.098,0.11098,False
2015-02-01,ELV,buy_call,2.9729,1,8.5136,5.5407,0.055407,False
2015-02-01,EOG,buy_call,3.2317,1,0.9745,-2.2573,-0.022573,False
2015-02-01,F,buy_call,3.2317,1,12.2144,8.9826,0.089826,False
2015-02-01,FDX,buy_call,3.0196,1,4.6538,1.6342,0.016342,False
2015-02-01,GE,buy_call,3.2317,1,8.7903,5.5586,0.055586,False
2015-02-01,GILD,buy_call,2.8264,1,-1.2401,-2.8264,-0.028264,False
2015-02-01,GIS,buy_call,2.2339,1,3.2935,1.0595,0.010595,False
2015-02-01,GM,buy_call,3.2317,1,14.3776,11.1459,0.111459,False
2015-02-01,GOOGL,buy_call,3.4858,1,4.6656,1.1798,0.011798,False
2015-02-01,GS,buy_call,2.7389,1,10.0807,7.3418,0.073418,False
2015-02-01,HAL,buy_call,3.2317,1,7.3768,4.1451,0.041451,False
2015-02-01,HD,buy_call,2.7959,1,9.8927,7.0968,0.070968,False
2015-02-01,HON,buy_call,3.0196,1,5.135,2.1154,0.021154,False
2015-02-01,IBM,buy_call,3.0196,1,5.6292,2.6096,0.026096,False
2015-02-01,INTC,buy_call,4.1737,1,0.6356,-3.5381,-0.035381,False
2015-02-01,ITW,buy_call,3.0196,1,6.1983,3.1787,0.031787,False
2015-02-01,JNJ,buy_call,2.057,1,2.3667,0.3097,0.003097,False
2015-02-01,JPM,buy_call,2.7389,1,13.4134,10.6745,0.106745,False
2015-02-01,KO,buy_call,1.9747,1,5.1737,3.1989,0.031989,False
2015-02-01,LLY,buy_call,3.5202,1,-2.5417,-3.5202,-0.035202,False
2015-02-01,LMT,buy_call,3.2317,1,6.2006,2.9689,0.029689,False
2015-02-01,LOW,buy_call,2.7959,1,9.7221,6.9262,0.069262,False
2015-02-01,LYB,buy_call,3.2317,1,8.6231,5.3914,0.053914,False
2015-02-01,MA,buy_call,2.7116,1,10.0865,7.3748,0.073748,False
2015-02-01,MCD,buy_call,1.9747,1,6.9882,5.0135,0.050135,False
2015-02-01,MDLZ,buy_call,2.2339,1,4.8241,2.5901,0.025901,False
